volt,percent
3.3779,0
3.4613,0
3.5181,1
3.5602,1
3.5946,2
3.6253,2
3.6486,2
3.6728,3
3.6929,3
3.7109,4
3.7264,4
3.7406,4
3.7515,5
3.758,5
3.7617,6
3.7645,6
3.7661,6
3.7679,7
3.7695,7
3.771,8
3.7732,8
3.7751,8
3.7772,9
3.7791,9
3.7819,10
3.7844,10
3.7865,10
3.789,11
3.7915,11
3.7943,12
3.7968,12
3.7999,12
3.8027,13
3.8054,13
3.8079,14
3.8107,14
3.8135,14
3.8166,15
3.8191,15
3.8219,15
3.8244,16
3.8271,16
3.8296,17
3.8321,17
3.8349,17
3.8374,18
3.8399,18
3.842,19
3.8442,19
3.8461,19
3.8482,20
3.8498,20
3.8523,21
3.8538,21
3.8557,21
3.8572,22
3.8588,22
3.86,23
3.8609,23
3.8625,23
3.8634,24
3.8647,24
3.8656,25
3.8665,25
3.8674,25
3.8684,26
3.8702,26
3.8709,27
3.8715,27
3.873,27
3.874,28
3.8746,28
3.8758,29
3.8774,29
3.8783,29
3.8792,30
3.8798,30
3.8811,31
3.8817,31
3.8823,31
3.8833,32
3.8845,32
3.8851,33
3.886,33
3.8867,33
3.8882,34
3.8888,34
3.8898,35
3.8907,35
3.8916,35
3.8922,36
3.8935,36
3.8944,37
3.8953,37
3.8963,37
3.8972,38
3.8981,38
3.8991,39
3.9003,39
3.9012,39
3.9022,40
3.9034,40
3.904,41
3.9056,41
3.9068,41
3.9078,42
3.9081,42
3.9096,43
3.9105,43
3.9115,43
3.9127,44
3.9136,44
3.9149,45
3.9164,45
3.9177,45
3.9186,46
3.9198,46
3.9214,46
3.9226,47
3.9239,47
3.9251,48
3.9267,48
3.9279,48
3.9295,49
3.9307,49
3.9319,50
3.9338,50
3.935,50
3.9366,51
3.9381,51
3.9394,52
3.9415,52
3.9431,52
3.945,53
3.9465,53
3.9481,54
3.9499,54
3.9515,54
3.9533,55
3.9552,55
3.9567,56
3.9592,56
3.9608,56
3.9629,57
3.9648,57
3.9667,58
3.9685,58
3.9707,58
3.9729,59
3.9747,59
3.9772,60
3.9791,60
3.9812,60
3.9837,61
3.9859,61
3.9877,62
3.9902,62
3.9924,62
3.9952,63
3.9973,63
3.9995,64
4.002,64
4.0045,64
4.0066,65
4.0091,65
4.0119,66
4.0144,66
4.0169,66
4.0194,67
4.0218,67
4.0243,68
4.0271,68
4.0299,68
4.0324,69
4.0352,69
4.038,70
4.0404,70
4.0432,70
4.0463,71
4.0491,71
4.0519,72
4.0547,72
4.0575,72
4.0603,73
4.0634,73
4.0665,74
4.0693,74
4.0721,74
4.0752,75
4.078,75
4.0807,76
4.0838,76
4.0869,76
4.0897,77
4.0931,77
4.0959,77
4.0997,78
4.1024,78
4.1059,79
4.1093,79
4.113,79
4.1164,80
4.1201,80
4.1238,81
4.1279,81
4.1316,81
4.1362,82
4.1403,82
4.1446,83
4.1489,83
4.1539,83
4.1589,84
4.1635,84
4.1679,85
4.1731,85
4.1775,85
4.1821,86
4.1865,86
4.1911,87
4.1951,87
4.1976,87
4.1976,88
4.1976,88
4.1976,88
4.1976,89
4.1976,89
4.1976,89
4.1976,90
4.1976,90
4.1976,90
4.1976,91
4.1976,91
4.1976,91
4.1976,91
4.1976,92
4.1976,92
4.1976,92
4.1976,92
4.1976,92
4.1976,93
4.1976,93
4.1976,93
4.1976,93
4.1976,93
4.1976,94
4.1976,94
4.1976,94
4.1976,94
4.1979,94
4.1976,94
4.1976,95
4.1976,95
4.1976,95
4.1976,95
4.1976,95
4.1976,95
4.1976,95
4.1976,95
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,96
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1979,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,97
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1979,98
4.1976,98
4.1976,98
4.1976,98
4.1976,98
4.1979,98
4.1976,98
4.1976,98
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1979,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,99
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1979,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1976,100
4.1976,100
4.1979,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1976,100
4.1979,100
